grouping,sort,section,units,grade,level_achieved,year,value
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2007,248007
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2008,277187
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2009,288197
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2010,283963
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2011,276829
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2012,272167
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2013,263534
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2014,261594
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2015,267850
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2016,267682
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2017,274732
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2018,294407
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2019,316694
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2020,329859
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2021,369857
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA,2022,401725
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,1995,1.31
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,1996,1.371
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,1997,1.642
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,1998,1.43
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,1999,1.692
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2000,1.537
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2001,1.627
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2002,1.71
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2003,1.73
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2004,1.78
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2005,1.74
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2006,1.72
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2007,1.61
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2008,1.315
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2009,1.385
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2010,1.42
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2011,1.435
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2012,1.435
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2013,1.435
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2014,1.46
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2015,1.49
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2016,1.49
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2017,1.49
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2018,1.5
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2019,1.5
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2020,1.5
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2021,1.4
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA,2022,1.4
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,1995,23188104
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,1996,24049608
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,1997,25214972
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,1998,28267474
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,1999,32643519
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2000,36946079
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2001,39704236
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2002,43435253
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2003,44284216
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2004,48730902
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2005,55407743
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2006,59819069
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2007,67325476
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2008,86935369
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2009,95160005
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2010,100357399
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2011,107672602
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2012,116956295
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2013,112157671
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2014,117164784
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2015,126825805
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2016,137949616
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2017,144009941
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2018,151839095
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2019,148007922
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2020,158764921
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2021,166898207
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA,2022,169182554
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,1995,4967
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,1996,4978
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,1997,4917
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,1998,5159
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,1999,5496
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2000,5973
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2001,6160
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2002,6758
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2003,6613
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2004,7277
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2005,7658
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2006,7859
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2007,8034
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2008,9180
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2009,9208
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2010,9019
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2011,9217
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2012,9440
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2013,8618
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2014,8653
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2015,9023
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2016,9458
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2017,9549
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2018,9818
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2019,9479
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2020,10069
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2021,10481
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA,2022,10815
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,1995,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,1996,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,1997,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,1998,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,1999,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2000,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2001,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2002,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2003,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2004,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2005,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2006,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2007,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2008,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2009,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2010,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2011,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2012,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2013,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2014,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2015,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2016,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2017,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2018,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2019,122184327
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2020,132102894
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2021,140010214
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA,2022,139994264
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,1995,60
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,1996,57
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,1997,57
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,1998,57
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,1999,55
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2000,60
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2001,51
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2002,48
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2003,45
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2004,46
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2005,44
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2006,40
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2007,38
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2008,40
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2009,47
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2010,46
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2011,47
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2012,47
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2013,46.2
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2014,45.1
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2015,46.5
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2016,45.8
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2017,44.9
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2018,43
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2019,44.6
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2020,43.5
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2021,48.8
State,SOURCE1,Taxes_and_Revenues,percent_of_total_funding,All,NA,2022,46.4
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,1995,34
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,1996,37
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,1997,40
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,1998,41
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,1999,43
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2000,38
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2001,47
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2002,49
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2003,53
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2004,48
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2005,50
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2006,54
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2007,56
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2008,55
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2009,48
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2010,49
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2011,47
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2012,45
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2013,48.7
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2014,49.8
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2015,49
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2016,49.8
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2017,50.5
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2018,51.6
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2019,48.8
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2020,48.5
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2021,44.3
Local and Other,SOURCE2,Taxes_and_Revenues,percent_of_total_funding,All,NA,2022,43.4
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,1995,6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,1996,5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,1997,3
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,1998,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,1999,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2000,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2001,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2002,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2003,2
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2004,6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2005,6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2006,6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2007,7
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2008,5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2009,5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2010,5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2011,6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2012,8
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2013,5.1
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2014,5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2015,4.5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2016,4.4
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2017,4.5
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2018,5.1
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2019,6.6
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2020,8
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2021,6.9
Federal,SOURCE3,Taxes_and_Revenues,percent_of_total_funding,All,NA,2022,10.1
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,1995,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,1996,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,1997,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,1998,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,1999,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2000,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2001,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2002,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2003,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2004,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2005,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2006,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2007,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2008,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2009,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2010,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2011,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2012,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2013,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2014,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2015,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2016,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2017,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2018,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2019,25823595
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2020,26662027
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2021,26887993
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA,2022,29188290
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,1995,5215910
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,1996,5837039
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,1997,7707126
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,1998,8001710
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,1999,6755983
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2000,2762475
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2001,2931440
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2002,3144701
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2003,3075924
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2004,3773630
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2005,5063588
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2006,6644033
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2007,9192091
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2008,12960797
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2009,18159333
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2010,19899475
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2011,21560277
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2012,29071565
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2013,28540728
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2014,37296830
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2015,30356577
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2016,33239921
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2017,37213184
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2018,37765756
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2019,35221093
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2020,37877914
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2021,48193326
Fund Balance-EOY,FB1,Fund_Balances,dollars,All,NA,2022,52742752
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,1995,26
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,1996,28
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,1997,35
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,1998,30
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,1999,23
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2000,8
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2001,8
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2002,8
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2003,8
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2004,9
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2005,11
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2006,13
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2007,15
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2008,19
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2009,24
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2010,23
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2011,26
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2012,33
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2013,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2014,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2015,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2016,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2017,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2018,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2019,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2020,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2021,NA
Fund Balance of Budget,FB2,Fund_Balances,dollars,All,NA,2022,NA
Total Expenditures,EXP1,Expenses,dollars,All,NA,1995,23223891
Total Expenditures,EXP1,Expenses,dollars,All,NA,1996,24199460
Total Expenditures,EXP1,Expenses,dollars,All,NA,1997,25218419
Total Expenditures,EXP1,Expenses,dollars,All,NA,1998,30292496
Total Expenditures,EXP1,Expenses,dollars,All,NA,1999,32648907
Total Expenditures,EXP1,Expenses,dollars,All,NA,2000,36942341
Total Expenditures,EXP1,Expenses,dollars,All,NA,2001,39935917
Total Expenditures,EXP1,Expenses,dollars,All,NA,2002,43488377
Total Expenditures,EXP1,Expenses,dollars,All,NA,2003,44284186
Total Expenditures,EXP1,Expenses,dollars,All,NA,2004,48264575
Total Expenditures,EXP1,Expenses,dollars,All,NA,2005,75856141
Total Expenditures,EXP1,Expenses,dollars,All,NA,2006,71500736
Total Expenditures,EXP1,Expenses,dollars,All,NA,2007,67658910
Total Expenditures,EXP1,Expenses,dollars,All,NA,2008,117115640
Total Expenditures,EXP1,Expenses,dollars,All,NA,2009,176913266
Total Expenditures,EXP1,Expenses,dollars,All,NA,2010,158686580
Total Expenditures,EXP1,Expenses,dollars,All,NA,2011,119689709
Total Expenditures,EXP1,Expenses,dollars,All,NA,2012,111723910
Total Expenditures,EXP1,Expenses,dollars,All,NA,2013,120744478
Total Expenditures,EXP1,Expenses,dollars,All,NA,2014,114277731
Total Expenditures,EXP1,Expenses,dollars,All,NA,2015,156021368
Total Expenditures,EXP1,Expenses,dollars,All,NA,2016,185123043
Total Expenditures,EXP1,Expenses,dollars,All,NA,2017,286519529
Total Expenditures,EXP1,Expenses,dollars,All,NA,2018,181819772
Total Expenditures,EXP1,Expenses,dollars,All,NA,2019,222715658
Total Expenditures,EXP1,Expenses,dollars,All,NA,2020,183465190
Total Expenditures,EXP1,Expenses,dollars,All,NA,2021,180985918
Total Expenditures,EXP1,Expenses,dollars,All,NA,2022,169960636
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,1995,20924195
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,1996,21501038
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,1997,22830591
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,1998,25629028
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,1999,29513110
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2000,33976406
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2001,35980515
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2002,38493612
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2003,39316527
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2004,42073977
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2005,44982145
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2006,50386506
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2007,55512440
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2008,64764015
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2009,78466716
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2010,88030770
Total Operating Expenditures,EXP2,Expenses,dollars,All,NA,2011,91276791
